City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
254,Teguldet,RU,57.3064,88.1667,47.34,96,79,8.63,broken clouds
255,Longyearbyen,SJ,78.2186,15.6401,33.64,75,0,3.44,clear sky
256,Uige,AO,-7.6087,15.0613,72.27,73,95,6.35,overcast clouds
257,Broome,US,42.2506,-75.833,73.62,63,94,3.0,overcast clouds
258,Guerrero Negro,MX,27.9769,-114.0611,77.58,70,100,3.33,overcast clouds
259,Almaznyy,RU,48.0448,40.045,73.54,36,9,7.23,clear sky
260,Cedral,MX,23.8,-100.7333,68.36,52,2,6.4,clear sky
261,Umm Kaddadah,SD,13.6017,26.6876,94.42,30,12,9.91,few clouds
262,Ancud,CL,-41.8697,-73.8203,51.42,94,100,17.18,light rain
263,Adrar,MR,20.5022,-10.0711,102.92,21,82,4.34,broken clouds
264,Rock Hill,US,34.9249,-81.0251,81.75,49,1,4.61,clear sky
265,Oranjemund,NA,-28.55,16.4333,59.97,66,13,6.35,few clouds
266,Mount Isa,AU,-20.7333,139.5,62.37,48,15,5.75,few clouds
267,Moussoro,TD,13.6408,16.4901,98.64,27,22,6.76,few clouds
268,Pimenta Bueno,BR,-11.6725,-61.1936,98.06,33,6,2.93,clear sky
269,Central Point,US,42.376,-122.9164,62.01,84,1,3.44,clear sky
270,Roblin,CA,51.23,-101.3565,53.38,57,100,9.53,overcast clouds
271,Champerico,GT,14.3,-91.9167,85.03,89,100,10.25,overcast clouds
272,Barrhead,GB,55.7992,-4.3929,64.13,79,90,5.01,overcast clouds
273,Victor Harbor,AU,-35.5667,138.6167,55.49,72,24,15.08,few clouds
274,Khandyga,RU,62.6667,135.6,41.36,72,49,0.29,scattered clouds
275,Tigzirt,DZ,36.8886,4.1198,79.86,61,27,8.16,scattered clouds
276,Forestville,US,38.8451,-76.875,79.38,53,1,6.91,clear sky
277,Tigil,RU,57.8,158.6667,35.02,79,92,3.8,overcast clouds
278,Iqaluit,CA,63.7506,-68.5145,38.57,51,77,4.56,broken clouds
279,San Carlos De Bariloche,AR,-41.1456,-71.3082,51.55,66,75,8.05,light intensity drizzle
280,Borogontsy,RU,62.6683,131.1683,43.14,60,86,2.37,overcast clouds
281,Ardesen,TR,41.1911,40.9875,67.96,80,99,6.64,overcast clouds
282,Pringsewu,ID,-5.3582,104.9744,74.61,96,95,3.06,overcast clouds
283,Kinsale,IE,51.7075,-8.5306,61.97,77,75,9.22,broken clouds
284,Lichinga,MZ,-13.3128,35.2406,67.21,35,18,2.73,few clouds
285,Vermilion,US,40.1667,-87.7506,79.39,62,1,1.99,clear sky
