City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
189,Lagunas,PE,72.59,-5.2269,-75.6753,Hospedaje Eco
194,Zaltan,LY,80.85,32.947,11.8665,زلطن الشرقية
195,Hilton Head Island,US,78.98,32.2163,-80.7526,Disney’s Hilton Head Island Resort
196,San Andres,CO,82.42,12.5847,-81.7006,Hotel Arena Blanca
198,Port Blair,IN,80.33,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
202,Omboue,GA,75.54,-1.5746,9.2618,Hotel Olako
204,Trinidad,BO,75.16,-14.8333,-64.9,Hotel Piesta
206,Portland,US,72.01,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
211,Salalah,OM,78.89,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
213,Grand Gaube,MU,70.2,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
214,San Lawrenz,MT,78.21,36.0553,14.204,San Andrea Hotel
217,Georgetown,MY,80.89,5.4112,100.3354,Cititel Penang
220,Caravelas,BR,74.34,-17.7125,-39.2481,Pousada dos Navegantes
224,Aksu,CN,71.33,41.1231,80.2644,Pudong Holiday Hotel
226,Ponta Do Sol,PT,76.01,32.6667,-17.1,Hotel do Campo
228,Marawi,PH,74.64,7.9986,124.2928,Derogongan Residence
231,Sebu,PH,76.84,6.22,124.6936,Balben Family Cove
234,Kati,ML,74.61,12.7441,-8.0726,samassa la
235,Katobu,ID,77.05,-4.9408,122.5276,La Ode Husein
236,Nouadhibou,MR,82.38,20.931,-17.0347,El Medina
237,Muli,MV,82.62,2.9167,73.5667,Medhufushi Island Resort
238,Hami,CN,70.68,42.8,93.45,Laoyutang Resort
242,Bay-Ang,PH,80.49,11.0347,122.9417,Perfecto Banaban
243,Cockburn Town,TC,83.44,21.4612,-71.1419,Osprey Beach Hotel
246,Hit,IQ,82.87,33.6416,42.8251,صالون زيرو
247,Jambi,ID,73.26,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
250,Kirakira,SB,82.6,-10.4544,161.9205,SanBiz Lodge
252,Bandarbeyla,SO,79.11,9.4942,50.8122,JABIR HOTEL
253,Nueva Loja,EC,76.84,0.0847,-76.8828,Limoncocha Great Hotel
254,Rongcheng,CN,79.18,30.634,117.8517,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
255,Teguise,ES,70.02,29.0605,-13.564,B&B La Casona de Nazaret
259,Pandan,PH,83.19,14.0453,124.1694,Bonifacio Lodge
261,Nara,JP,74.57,34.6851,135.8049,Guesthouse Nara Komachi
263,Lodwar,KE,81.93,3.1191,35.5973,Solmar Gracious Hotel
270,Lufkin,US,84.33,31.3382,-94.7291,Courtyard by Marriott Lufkin
275,Bara,NG,73.11,10.3744,10.7288,
281,Vilhena,BR,72.64,-12.7406,-60.1458,Hotel Mirage
285,Pafos,CY,76.78,34.7667,32.4167,Elysium Hotel
290,Nabire,ID,76.93,-3.3667,135.4833,Hotel Nusantara Nabire
291,Wagar,SD,82.26,16.1525,36.2032,
292,Nicolas Bravo,MX,81.48,18.45,-88.9167,
293,Muscat,OM,84.22,23.6139,58.5922,Mutrah Hotel
294,San Cristobal,VE,75.38,7.7669,-72.225,Posada Villaven C.A.
298,Ormara,PK,78.57,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
300,Los Llanos De Aridane,ES,71.35,28.6585,-17.9182,Valle Aridane
301,Belmonte,BR,75.7,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
302,Kiunga,PG,78.94,-6.1219,141.2906,Airport Lodge Kiunga
304,Impfondo,CG,70.86,1.6381,18.0667,Auberge La Place de Jules
308,Port Hedland,AU,75.25,-20.3167,118.5667,The Esplanade Hotel
310,Campina Verde,BR,77.2,-19.5356,-49.4864,Hotel Lino
317,Adre,TD,74.39,13.4667,22.2,
321,Amapa,BR,79.43,1.0,-52.0,
324,Zhoucheng,CN,75.85,35.9122,116.3117,Yingbin Restaurant
325,Mwene-Ditu,CD,70.66,-7.0,23.45,Hôtel Kamas
327,Chirongui,YT,76.93,-12.9319,45.1483,La Villa Mahatsara
333,Saint Anthony,US,79.03,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
344,Seddon,AU,70.29,-37.8068,144.8916,Footscray Motor Inn
345,Barahona,DO,80.31,18.2085,-71.1008,Hotel Caribe
349,Kenora,CA,75.18,49.8167,-94.4337,Maynard Lake Lodge
352,Tarauaca,BR,73.38,-8.1614,-70.7656,Flat Temporada
354,Rancho Veloz,CU,73.89,22.8806,-80.3917,
357,Labuhan,ID,79.84,-6.8844,112.2051,PT PPI Lamongan Tambak C
360,Nargana,PA,81.72,9.4428,-78.5906,Dubbir
361,Sebastian,US,83.12,35.1668,-94.2669,
364,Oliveira Dos Brejinhos,BR,84.76,-12.3169,-42.8961,Hotel Paraiso
366,Lompoc,US,84.11,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
368,Marapanim,BR,77.13,-0.7175,-47.6997,Ecomangue Pousada
